# Chinese Sentiment Lexicon for Text Content Security System
# Format: word	polarity	intensity	category
# Generated for Engineering Training Project 3

困窘	-0.55	1.0	criticism
困苦	-0.62	1.0	criticism
困顿	-0.58	1.0	criticism
坐立不安	-0.58	1.0	criticism
垂头丧气	-0.62	1.0	criticism
垂死	-0.72	1.0	anger
大发雷霆	-0.78	1.0	anger
大怒	-0.72	1.0	anger
天理难容	-0.82	1.0	anger
失常	-0.58	1.0	criticism
失控	-0.62	1.0	criticism
失衡	-0.55	1.0	criticism
失调	-0.52	1.0	criticism
夸张	-0.35	1.0	sadness
奄奄一息	-0.75	1.0	anger
奸诈	-0.72	1.0	anger
嫌弃	-0.58	1.0	criticism
嫌恶	-0.68	1.0	criticism
害群之马	-0.75	1.0	anger
寸步难行	-0.68	1.0	criticism
山穷水尽	-0.72	1.0	anger
左右为难	-0.55	1.0	criticism
废墟	-0.62	1.0	criticism
废材	-0.62	1.0	criticism
废物	-0.78	1.0	anger
弥留	-0.65	1.0	criticism
心如死灰	-0.82	1.0	anger
心惊胆战	-0.72	1.0	anger
忐忑不安	-0.62	1.0	criticism
怒	-0.62	1.0	criticism
怒不可遏	-0.82	1.0	anger
怒发冲冠	-0.8	1.0	anger
怒火中烧	-0.78	1.0	anger
恐慌	-0.65	1.0	criticism
恨之入骨	-0.85	1.0	anger
恶化	-0.62	1.0	criticism
恶毒	-0.78	1.0	anger
悲凉	-0.72	1.0	anger
悲痛欲绝	-0.85	1.0	anger
惊恐	-0.68	1.0	criticism
惊恐慌乱	-0.72	1.0	anger
惊惧	-0.7	1.0	criticism
惊惶	-0.68	1.0	criticism
惊骇	-0.72	1.0	anger
惨败	-0.75	1.0	anger
愤恨	-0.75	1.0	anger
愤愤不平	-0.68	1.0	criticism
憋屈	-0.5	1.0	sadness
憋气	-0.55	1.0	criticism
憎恶	-0.75	1.0	anger
战栗	-0.65	1.0	criticism
折磨	-0.68	1.0	criticism
抽泣	-0.58	1.0	criticism
提心吊胆	-0.65	1.0	criticism
无力回天	-0.72	1.0	anger
无可奈何	-0.52	1.0	criticism
无能	-0.72	1.0	anger
无能为力	-0.58	1.0	criticism
暴乱	-0.78	1.0	anger
暴跳如雷	-0.82	1.0	anger
束手无策	-0.6	1.0	criticism
步履维艰	-0.65	1.0	criticism
残骸	-0.6	1.0	criticism
毛骨悚然	-0.78	1.0	anger
气急败坏	-0.72	1.0	anger
气息奄奄	-0.72	1.0	anger
气死人	-0.68	1.0	criticism
气炸	-0.72	1.0	anger
气疯	-0.68	1.0	criticism
污秽	-0.68	1.0	criticism
泣不成声	-0.75	1.0	anger
泪流满面	-0.65	1.0	criticism
活受罪	-0.62	1.0	criticism
浮夸	-0.52	1.0	criticism
深恶痛绝	-0.82	1.0	anger
渣	-0.55	1.0	criticism
溃败	-0.72	1.0	anger
演	-0.4	1.0	sadness
潦倒	-0.62	1.0	criticism
濒死	-0.72	1.0	anger
火冒三丈	-0.75	1.0	anger
灰心丧气	-0.62	1.0	criticism
煎熬	-0.65	1.0	criticism
狡猾	-0.6	1.0	criticism
狡诈	-0.68	1.0	criticism
狰狞	-0.68	1.0	criticism
生不如死	-0.88	1.0	anger
畏缩	-0.58	1.0	criticism
病入膏肓	-0.78	1.0	anger
病态	-0.65	1.0	criticism
痛不欲生	-0.85	1.0	anger
痛哭	-0.68	1.0	criticism
痛哭流涕	-0.72	1.0	anger
痛恨	-0.8	1.0	anger
磨难	-0.62	1.0	criticism
穷途末路	-0.72	1.0	anger
窘境	-0.55	1.0	criticism
窝囊	-0.65	1.0	criticism
窝火	-0.5	1.0	sadness
罪大恶极	-0.88	1.0	anger
罪恶滔天	-0.88	1.0	anger
肮脏	-0.65	1.0	criticism
苍凉	-0.62	1.0	criticism
苦难	-0.65	1.0	criticism
荒凉	-0.5	1.0	sadness
荒废	-0.55	1.0	criticism
荒芜	-0.55	1.0	criticism
萎靡	-0.55	1.0	criticism
落魄	-0.65	1.0	criticism
蔑视	-0.65	1.0	criticism
虚伪	-0.68	1.0	criticism
虚假	-0.65	1.0	criticism
装	-0.45	1.0	sadness
败类	-0.82	1.0	anger
贱	-0.55	1.0	criticism
走投无路	-0.75	1.0	anger
躲避	-0.45	1.0	sadness
轻视	-0.52	1.0	criticism
进退两难	-0.6	1.0	criticism
退化	-0.55	1.0	criticism
退缩	-0.48	1.0	sadness
逃避	-0.5	1.0	sadness
造假	-0.72	1.0	anger
遭罪	-0.58	1.0	criticism
鄙夷	-0.68	1.0	criticism
闷气	-0.48	1.0	sadness
阴险	-0.72	1.0	anger
险恶	-0.72	1.0	anger
震怒	-0.8	1.0	anger
面目可憎	-0.78	1.0	anger
颓丧	-0.62	1.0	criticism
颓唐	-0.58	1.0	criticism
颓废	-0.62	1.0	criticism
颤抖	-0.52	1.0	criticism
骑虎难下	-0.58	1.0	criticism
骚乱	-0.68	1.0	criticism
龌龊	-0.7	1.0	criticism
